bkID,Title,Maintext,coding,filsts,updated_by
17972,"Population human resources & development","<001>Population human resources & development\u001e<002>\u001e<003>\u001e<004>\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Quezon City\u001e<0010>University of the Philippines\u001e<0011>1994\u001e<0012>\u001e<0013>868 p.\u001e<0014>\u001e<0015>25 cm.\u001e<0016>\u001e<0017>\u001e<0018>Includes bibliographical references\u001e<0019>\u001e<0020>Population education\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-SOC 304.6 P81p 1994\u001e<0026>MLIB00016665; MLIB00001643\u001e<0027>English\u001e<0028>GC-SOC - Circulation\u001e<0029>031;032\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","yes","library"
18007,"Exploring agriscience","<001>Exploring agriscience\u001e<002>\u001e<003>\u001e<004>Herren, Ray V.\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Australia\u001e<0010>Thomson Delmar Learning\u001e<0011>2006\u001e<0012>3rd ed.\u001e<0013>496 p.\u001e<0014>pictures (colored)\u001e<0015>25 cm.\u001e<0016>\u001e<0017>\u001e<0018>Includes index and glossary\u001e<0019>9781401896447\u001e<0020>Agriculture--Juvenile literature\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-AGR 630 H34e 2006\u001e<0026>MLIB00001132(Reserve); MLIB00001105; MLIB00002116\u001e<0027>English\u001e<0028>GC-AGR - Circulation/Reserve\u001e<0029>25726; 25583; 22741\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>4\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","ginalyn"
18064,"Fundamentals of investment management","<001>Fundamentals of investment management\u001e<002>\u001e<003>\u001e<004>Hirt, Geoffrey A.\u001e<005>\u001e<006>Block, Stanley B.\u001e<007>\u001e<008>\u001e<009>New York\u001e<0010>McGraw-Hill Irwin\u001e<0011>2008\u001e<0012>9th ed.\u001e<0013>640 p.\u001e<0014>ill.\u001e<0015>28 cm.\u001e<0016>\u001e<0017>\u001e<0018>Includes glossary and index\u001e<0019>9780071283762\u001e<0020>Investments; Investments-United States; Investment analysis\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-INV 332.6 H52f 2008\u001e<0026>CBSUA-MLIB00000008\u001e<0027>English\u001e<0028>GC-INV - circulation\u001e<0029>25803; 2,971.00\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","library"
18309,"Off-season production of horticultural crops","<001>Off-season production of horticultural crops\u001e<002>\u001e<003>\u001e<004>\u001e<005>\u001e<006>\u001e<007>\u001e<008>Food and fertilizer technology center for the Asian and Pacific region\u001e<009>Taiwan\u001e<0010>Food and fertilizer technology center for the Asian and Pacific region\u001e<0011>1990\u001e<0012>\u001e<0013>188 p.\u001e<0014>ill. (some col.)\u001e<0015>26 cm.\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>9579539022\u001e<0020>Horticulture\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-HRT 635 F94o 1990\u001e<0026>MLIB00001377; MLIB00001544\u001e<0027>English\u001e<0028>GC-HRT - Circulation\u001e<0029>3396;3395\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038><0039>Text\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","library"
18394,"The wild relatives of rice: a genetic resources handbook","<001>The wild relatives of rice: a genetic resources handbook\u001e<002>\u001e<003>\u001e<004>Vaughan, Duncan A.\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Manila, Philippines\u001e<0010>IRRI\u001e<0011>1994\u001e<0012>\u001e<0013>\u001e<0014>ill. (some col.)\u001e<0015>28 cm.\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>9712200574\u001e<0020>Crops - genetic engineering - environmental aspects\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-RCE 631.523 V4651 1994\u001e<0026>MLIB00017707; MLIB00017506; MLIB00017253; MLIB00016980; MLIB00017523\u001e<0027>English\u001e<0028>GC-RCE - Circulation\u001e<0029>27838;27839;28134;27836;27837\u001e<0030>1\u001e<0031>0\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","yes","library"
18687,"Watersheds  4; t : 10 cases in environmental ethics : Newton, Lisa H.","<001>Watersheds  4; t : 10 cases in environmental ethics : Newton, Lisa H.\u001e<002>Lisa H. Newton\u001e<003>\u001e<004>Newton, Lisa H.\u001e<005>\u001e<006>Dillingham, Catherine K.; Choly, Joanne\u001e<007>\u001e<008>\u001e<009>Australia\u001e<0010>Thomson Wadsworth\u001e<0011>2006\u001e<0012>\u001e<0013>208 p.\u001e<0014>\u001e<0015>23 cm.\u001e<0016>\u001e<0017>\u001e<0018>Includes bibliographic references and index\u001e<0019>9780534521264\u001e<0020>\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-AgSc 179 N48w 2006\u001e<0026>MLIB00001073\u001e<0027>English\u001e<0028>GC AgSc\u001e<0029>\u001e<0030>1\u001e<0031>1\u001e<0032>\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>Environmental ethics\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","library"
19210,"Reproductionsin logged-over dipterocarp forests following selective logging in four climatic types : Uriarte, Monia T.","<001>Reproductionsin logged-over dipterocarp forests following selective logging in four climatic types : Uriarte, Monia T.\u001e<002>Monia T. Uriarte\u001e<003>\u001e<004>Uriarte, Monia T.\u001e<005>\u001e<006>Virtucio, Felizardo D.\u001e<007>\u001e<008>\u001e<009>Laguna\u001e<0010>Ecosystems Research and Development\u001e<0011>1988\u001e<0012>\u001e<0013>\u001e<0014>\u001e<0015>22 cm. 25 cm.\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>\u001e<0020>forest\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-FRS 634.9 U3r 1988\u001e<0026>MLIB00015364\u001e<0027>English\u001e<0028>GC-FRS - Circulation\u001e<0029>2785\u001e<0030>1\u001e<0031>1\u001e<0032>1\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","yes","library"
19268,"Methods in behavioral research","<001>Methods in behavioral research\u001e<002>\u001e<003>\u001e<004>Cozby, Paul C.\u001e<005>\u001e<006>Bates, Scott C..\u001e<007>\u001e<008>\u001e<009>New York\u001e<0010>McGrawHill\u001e<0011>2018\u001e<0012>13th ed.\u001e<0013>428\u001e<0014>\u001e<0015>23 cm.\u001e<0016>\u001e<0017>\u001e<0018>Includes glossary, reference and index\u001e<0019>9781260084207\u001e<0020>Psychology-Research methodology; Social sciences-research; Methodology; Psychology-experimental; Psychology research\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-RES 150.72 C8399 2018\u001e<0026>MLIB00024458\u001e<0027>English\u001e<0028>GC-RES - Reserve\u001e<0029>30400; 4,460\u001e<0030>1\u001e<0031>1\u001e<0032>\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","library"
22837,"The green world : forestry","<001>The green world : forestry\u001e<002>\u001e<003>\u001e<004>Raven, Catherine\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>New York\u001e<0010>Chelsea House\u001e<0011>2005\u001e<0012>\u001e<0013>\u001e<0014>\u001e<0015>\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>\u001e<0020>\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-FRS 581.33 T3403 2005\u001e<0026>MLIB00012008\u001e<0027>\u001e<0028>\u001e<0029>\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","library"
24361,"Hole`s human anatomy & physiology","<001>Hole`s human anatomy & physiology\u001e<002>\u001e<003>\u001e<004>Shier, David\u001e<005>\u001e<006>Hole, John W.; Butler, Jackie.; Lewis, Ricki\u001e<007>\u001e<008>\u001e<009>Boston, Massachusetts\u001e<0010>WCB/McGraw-Hill\u001e<0011>1996\u001e<0012>7th ed.\u001e<0013>238 p.\u001e<0014>ill.\u001e<0015>28 cm.\u001e<0016>\u001e<0017>\u001e<0018>Includes bibliographical references\u001e<0019>0697253813\u001e<0020>Human anatomy--Pictorial works.; Human physiology--Pictorial works.\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-ANP 611 H89s 1996\u001e<0026>MLIB00021699; MLIB00018134; MLIB00021687; MLIB00018193; MLIB00018174; MLIB00018177; MLIB00018162; MLIB00018163; MLIB00018153; MLIB00018205; MLIB00019912; MLIB00018176; MLIB00018194; MLIB00018168; MLIB00020152; MLIB00019907; MLIB00019792; MLIB00018172; MLIB00018190; MLIB00019804; MLIB00018195; MLIB00019911; MLIB00018171; MLIB00019845; MLIB00019788; MLIB00019906; MLIB00018183; MLIB00004940; MLIB00005074; MLIB00018204; MLIB00018175; MLIB00018188; MLIB00018160; MLIB00004882; MLIB00004842; MLIB00004942; MLIB00004898; MLIB00004860; MLIB00018167; MLIB00018189; MLIB00018178; MLIB00019904; MLIB00004919; MLIB00004904; MLIB00004880; MLIB00004888; MLIB00004856; MLIB00004865; MLIB00004860; MLIB00004893; MLIB00004844; MLIB00004904; MLIB00004868; MLIB00004898; MLIB00004944; MLIB00004874; MLIB00004861; MLIB00004906; MLIB00004855; MLIB00004940; MLIB00004942; MLIB00005074; MLIB00004946; MLIB00004901; MLIB00004913; MLIB00004880; MLIB00004987; MLIB00004882; MLIB00004919; MLIB00004915; MLIB00004921; MLIB00004900; MLIB00004842; MLIB00004894; MLIB00004885; MLIB00004867; MLIB00018201;MLIB00019790; MLIB00019905; MLIB00019905; MLIB00019908; MLIB00019910; MLIB00018166; MLIB00019783; MLIB00019909; MLIB00018164; MLIB00019835; MLIB00018191; MLIB00018197; MLIB00018170;  MLIB00018180; MLIB00019902; MLIB00018182; MLIB00020324; MLIB00020006; MLIB00018186; MLIB00018196; MLIB00018199; MLIB00018169; MLIB00018185; MLIB00018192; MLIB00017923; MLIB00018203; MLIB00019903; MLIB00018200; MLIB00019803; MLIB00018198; MLIB00018181\u001e<0027>English\u001e<0028>GC - Circulation\u001e<0029>163; 0555; 0456; 0315; 0418; 0372; 0345; 0445; 0404; 0326; 0556; 0383; 0446; 0332; 0454; 0398; 0414; 0494; 0495; 0511; 0351; 0467; 0503; 0359; 0381; 0313; 0498; 0493; 0420; 0324; 0485; 0357; 0412; 0463; 0432; 0328; 0425; 0311; 0458; 0400; 0428; 0389; 0452; 0505; 0492; 0477; 0533; 0366; 0348; 0331; 0358; 0415; 0335; 0336; 0375; 0559; 0377; 0308; 0521; 0416; 0528; 0339; 0551; 0497; 0379; 0323; 0481; 0411; 0491; 0557; 0403; 0520; 0501; 0407; 0382; 0539; 0419; 0465; 0526;\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>16\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","anne"
